Período;ARS;Nº Consultas nos CSP;Nº Consultas CSP (Não Programadas);Nº Consultas CSP (Programadas);Nº Consultas Gripe nos CSP
2017-10-17;ARS Norte;58406.0;30174.0;28232.0;68.0
2017-10-18;ARS Alentejo;8027.0;4050.0;3977.0;12.0
2017-10-19;ARS Alentejo;7496.0;3575.0;3921.0;9.0
2017-10-21;ARS Algarve;299.0;299.0;0.0;1.0
2017-10-22;ARS Centro;1681.0;1681.0;0.0;12.0
2017-10-23;ARS Lisboa e Vale do Tejo;36501.0;15521.0;20980.0;49.0
2017-10-25;ARS Centro;24600.0;13335.0;11265.0;36.0
2017-10-25;ARS Algarve;3417.0;1745.0;1672.0;9.0
2017-10-28;ARS Alentejo;834.0;751.0;83.0;4.0
2017-10-29;ARS Algarve;273.0;271.0;2.0;0.0
2017-10-31;ARS Alentejo;7914.0;4114.0;3800.0;4.0
2017-11-01;ARS Norte;2166.0;2166.0;0.0;21.0
2017-11-01;ARS Lisboa e Vale do Tejo;1090.0;1090.0;0.0;14.0
2017-11-01;ARS Algarve;226.0;225.0;1.0;1.0
2017-11-02;ARS Norte;50642.0;27614.0;23028.0;65.0
2017-11-03;ARS Centro;17265.0;10461.0;6804.0;18.0
2017-11-03;ARS Algarve;3639.0;1944.0;1695.0;4.0
2017-11-04;ARS Alentejo;807.0;719.0;88.0;6.0
2017-11-05;ARS Alentejo;765.0;727.0;38.0;3.0
2017-11-06;ARS Norte;64422.0;36221.0;28201.0;75.0
2017-11-07;ARS Centro;26180.0;14179.0;12001.0;44.0
2017-11-09;ARS Alentejo;8140.0;4196.0;3944.0;15.0
2017-11-10;ARS Alentejo;6589.0;3477.0;3112.0;14.0
2017-11-11;ARS Norte;2584.0;2471.0;113.0;27.0
2017-11-13;ARS Lisboa e Vale do Tejo;37545.0;16526.0;21019.0;65.0
2017-11-14;ARS Norte;60138.0;31175.0;28963.0;109.0
2017-11-15;ARS Lisboa e Vale do Tejo;33283.0;13549.0;19734.0;57.0
2017-11-16;ARS Lisboa e Vale do Tejo;31155.0;12544.0;18611.0;70.0
